year,gdp_smooth
1509,228111612.80188128
1510,229585406.37042663
1511,231094794.0457709
1512,232640117.17172852
1513,234221720.08255652
1514,235839950.1287644
1515,237495157.70314553
1516,239187696.2670331
1517,240917922.3767816
1518,242686195.71047676
1519,244492879.09487492
1520,246338338.5325746
1521,248222943.229422
1522,250147065.62215194
1523,252111081.40626746
1524,254115369.56415865
1525,256160312.39346403
1526,258246295.53567582
1527,260373708.0049916
1528,262542942.217414
1529,264754394.0201012
1530,267008462.72097
1531,269305551.11855346
1532,271622401.49316394
1533,273959183.85816985
1534,276316069.6895739
1535,278693231.93859625
1536,281090845.0443658
1537,283509084.94672096
1538,285948129.0991199
1539,288408156.4816628
1540,290889347.61422557
1541,293391884.569706
1542,295915950.9873855
1543,298461732.08640385
1544,301029414.6793515
1545,303619187.18597764
1546,306231239.6470169
1547,308865763.73813486
1548,311522952.7839931
1549,314203001.7724361
1550,316906107.36879927
1551,319632467.9303405
1552,322382283.52079624
1553,325155755.92506224
1554,327953088.6640004
1555,330774487.0093742
1556,333620157.99891084
1557,336490310.4514949
1558,339385154.9824906
1559,342304904.01919824
1560,345249771.81644154
1561,348219974.47229016
1562,351215729.94391733
1563,354237258.0635937
1564,357284780.55481905
1565,360358521.0485925
1566,363458705.0998227
1567,366585560.2038799
1568,369739315.8132889
1569,372920203.35456777
1570,376128456.24520904
1571,379309519.60637033
1572,382463068.9823132
1573,385588776.97636443
1574,388686313.22536707
1575,391755344.3739123
1576,394795534.04834855
1577,397806542.83056736
1578,400788028.23156244
1579,403739644.66476136
1580,406661043.41912746
1581,409551872.63202953
1582,412411777.2618782
1583,415240399.060526
1584,418037376.5454297
1585,420802344.9715735
1586,423534936.3031485
1587,426234779.18499005
1588,428901498.9137682
1589,431534717.40892875
1590,434134053.18338615
1591,436699121.31396204
1592,439229533.4115695
1593,441724897.591141
1594,444184818.44129604
1595,446608896.99374884
1596,448996730.6924512
1597,451347913.36247003
1598,453662035.17859685
1599,455938682.63368636
1600,458177438.50672257
1601,460377881.8306093
1602,462539587.8596841
1603,464662128.03695124
1604,466745069.9610327
1605,468787977.35283464
1606,470790410.0219269
1607,472751923.8326316
1608,474672070.66982114
1609,476550398.4044206
1610,478386450.8586131
1611,480179767.7707452
1612,481929884.75993073
1613,483636333.29034853
1614,485298640.63523334
1615,486916329.84055656
1616,488488919.68839335
1617,490015924.6599753
1618,491496854.89842343
1619,492931216.17116153
1620,494318509.83200455
1621,495658232.782921
1622,496949877.435466
1623,498192931.6718815
1624,499386878.8058624
1625,500531197.5429835
1626,501625361.9407866
1627,502668841.3685231
1628,503661100.4665503
1629,504601599.1053773
1630,505489792.34435904
1631,506325130.39003354
1632,507161848.8585397
1633,507999950.03107053
1634,508839436.1925885
1635,509680309.63183224
1636,510522572.6413226
1637,511366227.51736885
1638,512211276.5600749
1639,513057722.0733458
1640,513905566.3648938
1641,514754811.7462447
1642,515605460.5327442
1643,516457515.0435643
1644,517310977.6017093
1645,518165850.53402245
1646,519022136.1711921
1647,519879836.84775823
1648,520738954.90211874
1649,521599492.67653567
1650,522461452.5171419
1651,523324836.7739473
1652,524189647.800845
1653,525055887.95561844
1654,525923559.5999469
1655,526792665.09941286
1656,527663206.8235077
1657,528535187.1456386
1658,529408608.4431346
1659,530283473.09725386
1660,531159783.4931891
1661,532037542.0200751
1662,532916751.0709944
